------------------------------------------------------------------------------------
导出信息：
姓名：赵紫薇
支付宝账户：15730284920
起始时间：[2026-06-01 00:00:00]    终止时间：[2026-06-30 23:59:59]
导出交易类型：[全部]
导出时间：[2026-07-04 09:49:41]
共56笔记录
收入：0笔 0.00元
支出：22笔 772.55元
不计收支：34笔 95.53元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅供个人对账使用。

------------------------支付宝支付科技有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2026-06-30 03:21:15,投资理财,博时基金管理有限公司,/,余额宝-2026.06.29-收益发放,不计收支,0.07,余额宝,交易成功,20260630307884727151	,	,,
2026-06-29 23:59:58,服饰装扮,1688平台商家,212***@139.com,全款交易：女法式三角杯镂空网纱透气小胸聚拢薄凉感7A抑菌无痕防凸点文胸罩,支出,80.00,中国银行储蓄卡(1895),支付成功,2026062923001850151424094095_11230600726062973916545794035	,T50060NP5122275625759028739	,,
2026-06-29 23:30:27,日用百货,1688平台商家,zqg***@outlook.com,全款交易：丝瓜络洗碗布天然刷碗菜瓜瓤刷锅厨房专用清洁耐用百洁布抹布神器,支出,4.88,中国银行储蓄卡(1895),支付成功,2026062923001850151423190673_11230600726062982629006794035	,T50060NP5121968510097047103	,,
2026-06-29 03:13:33,投资理财,博时基金管理有限公司,/,余额宝-2026.06.28-收益发放,不计收支,0.06,余额宝,交易成功,20260629301835445151	,	,,
2026-06-28 03:47:31,投资理财,博时基金管理有限公司,/,余额宝-2026.06.27-收益发放,不计收支,0.06,余额宝,交易成功,20260628396372868151	,	,,
2026-06-27 21:29:46,日用百货,1688平台商家,114***@qq.com,全款交易：搓澡巾搓澡神器家用强力搓泥擦后背洗澡沐浴手套无痛下泥粗砂加厚,支出,7.39,中国银行储蓄卡(1895),支付成功,2026062723001850151410739344_11210600726062786897330794035	,T50060NP5122059372590028739	,,
2026-06-27 21:28:01,其他,1688平台商家,104***@qq.com,全款交易：拼豆闪光格利特布烫豆DIY彩虹渐变粗闪拼豆皮革格丽特闪布细闪,支出,13.60,中国银行储蓄卡(1895),支付成功,2026062723001850151410774278_11210600726062785601820794035	,T50060NP5121831098547028739	,,
2026-06-27 03:07:16,投资理财,博时基金管理有限公司,/,余额宝-2026.06.26-收益发放,不计收支,0.07,余额宝,交易成功,20260627390145933151	,	,,
2026-06-26 18:58:57,日用百货,中国菜大生生鲜厚街店,/,中国菜大生生鲜厚街店,支出,4.78,中国银行储蓄卡(1895)&碰一下立减,交易成功,2026062623001450151401044953	,45126600004836000083620260626946062771	,,
2026-06-26 03:12:36,投资理财,博时基金管理有限公司,/,余额宝-2026.06.25-收益发放,不计收支,0.07,余额宝,交易成功,20260626384172835151	,	,,
